date,momentum_60,reversal_20,volatility_20,liquidity_20
2021-01-04,,,,
2021-01-05,,,,
2021-01-06,,,,
2021-01-07,,,,
2021-01-08,,,,
2021-01-11,,,,
2021-01-12,,,,
2021-01-13,,,,
2021-01-14,,,,
2021-01-15,,,,
2021-01-18,,,,
2021-01-19,,,,
2021-01-20,,,,
2021-01-21,,,,
2021-01-22,,,,
2021-01-25,,,,
2021-01-26,,,,
2021-01-27,,,,
2021-01-28,,,,
2021-01-29,,,,0.053463889576250166
2021-02-01,,-0.14117757217291788,0.35701917190432203,0.2926032041111561
2021-02-02,,-0.24443181121660126,-0.020539250499489823,0.05496900228473133
2021-02-03,,-0.11081296491299512,-0.1121529456475081,0.06843323029804843
2021-02-04,,0.013467684811107354,-0.34571092683414534,-0.05514321485449529
2021-02-05,,-0.11544413357422798,0.25770234440404616,0.20372496360339362
2021-02-08,,0.09192774930144518,0.4627818528050608,0.22193668796669436
2021-02-09,,-0.03801755971031684,0.11360454346153763,0.22111413968654606
2021-02-10,,0.2165628724957567,-0.11274972677883391,-0.33853935971100413
2021-02-18,,0.48768219338618307,-0.41029423279340166,-0.34140080280531204
2021-02-19,,0.1167328079498329,-0.26394908873781614,-0.43088313020224295
2021-02-22,,-0.08980191091774835,-0.08476151099418192,-0.01701723030321222
2021-02-23,,0.4456598463891843,-0.4582532914659918,-0.3516267288624434
2021-02-24,,-0.10287962555325621,-0.2789618526357131,-0.07610484728398105
2021-02-25,,0.06628818372523634,-0.2499089960868424,-0.21078810555521454
2021-02-26,,0.15587219968849714,0.4554537727145103,0.24399362381536685
2021-03-01,,0.0890890651474605,-0.14390493821797484,-0.18952299643308618
2021-03-02,,-0.12022091267635394,-0.07062595124195803,0.0783397220993096
2021-03-03,,-0.4145084808534185,-0.5102288747001906,-0.5362207198372965
2021-03-04,,0.3283338812097269,-0.1799496391734623,-0.15143298665004154
2021-03-05,,-0.4640601305568236,-0.5068030137681867,-0.47522537435679474
2021-03-08,,-0.22019958216865868,-0.23447190611504717,-0.13877112309974837
2021-03-09,,0.4799567724708404,0.31922359496949787,0.3591335812226985
2021-03-10,,0.0413820481102504,0.4179989616212495,0.2538536702040373
2021-03-11,,-0.11385066102725049,-0.03757194537362662,-0.02885879857559714
2021-03-12,,-0.5639382888285166,-0.42143253618361737,-0.3363590198759594
2021-03-15,,0.19466276201693933,-0.0808843282563166,0.02451051740782233
2021-03-16,,0.5171305911631741,0.30625468420021096,0.16643611792059454
2021-03-17,,0.36373143164110733,0.327353708810182,0.22224714673195256
2021-03-18,,-0.311578284181802,-0.32044271089700643,-0.48424690947525906
2021-03-19,,-0.1994010364825413,-0.15930093806980436,-0.13871188006849824
2021-03-22,,0.015013643330874167,-0.3337381851394499,-0.15069616717993525
2021-03-23,,-0.27260305333034746,-0.3936916533908797,-0.270413016446039
2021-03-24,,0.39024721408725205,0.22875518736037564,0.0826054079054749
2021-03-25,,0.326267491611936,0.5343915930556284,0.36323341878958887
2021-03-26,,-0.13749576515294096,-0.04130472637933202,-0.08234489763274652
2021-03-29,,0.37434721598945275,0.2917107320106297,0.2996717669451965
2021-03-30,,-0.20817455127774423,-0.24550136052934948,-0.3119159024842606
2021-03-31,,0.38846893261213916,0.43292716559795313,0.3463314109266364
2021-04-01,,0.2426863114315138,0.2556151136236766,0.14603794379426502
2021-04-02,,0.13426868621358207,0.0324721309802198,-0.0787487463717585
2021-04-06,0.20367565010989136,0.021223278665145652,-0.05384583966756927,-0.22569802880217057
2021-04-07,-0.04253643020228709,-0.12718848717188608,0.13583855236734932,0.1687530958992868
2021-04-08,0.165980189072259,0.010697347767305106,-0.28285928474957633,-0.3038614460429149
2021-04-09,0.24169622741339725,-0.13576846947246154,-0.3847671138449119,-0.24699627414403258
2021-04-12,-0.27174067062643775,0.13164754953076122,0.20782335955156908,0.2724569333629016
2021-04-13,-0.24694582307883498,0.014129622522465985,0.36424018589932344,0.14915903449471687
2021-04-14,0.0536357960937433,-0.036215670893451284,0.14582878081536457,-0.04242452660889453
2021-04-15,-0.03433368308137514,0.12423665855537296,-0.2690959105459216,-0.28658802352459345
2021-04-16,-0.3114326803669576,0.049360339813915695,0.3356418859885515,0.3526274341075758
2021-04-19,0.14180024715956796,0.0011934555463239838,0.11954483573166563,0.11805117406205301
2021-04-20,0.06453863834784453,-0.10657661009858602,0.01689009851385551,0.13657356662104578
2021-04-21,-0.13789750848614268,-0.05338043188908175,0.1105685889785836,0.029399212639205325
2021-04-22,-0.08229039754927334,-0.1474072087487204,0.26606245570242537,0.35667426891679244
2021-04-23,0.1760841719750253,-0.08706640459178941,0.0738589489506042,-0.04160528416848327
2021-04-26,0.05422441144803394,-0.20989727554227078,0.12531364612672255,0.15679230993923166
2021-04-27,-0.024120210692735098,-0.23290348508845612,0.278414368300674,0.14183688994415697
2021-04-28,0.025768069386856763,0.09401010345429238,-0.2186127855100098,-0.036890686382325705
2021-04-29,0.08518078022782649,-0.2196213382135195,0.13925544565401018,0.09327823754372357
2021-04-30,0.08815058413721139,0.07721038879762793,-0.12093283317299378,-0.2272321450472434
2021-05-06,0.37253021265191094,-0.005718371318480688,-0.33902864504852886,-0.2355501930067312
2021-05-07,0.28164136639491755,-0.2896267361407902,0.1065247304207333,0.11587092444116452
2021-05-10,-0.17716813900972048,0.2861836536728062,-0.09835698976056195,-0.07864861829889166
2021-05-11,0.019972523014540288,-0.2050531866216455,0.2122578014187159,0.15900356868211366
2021-05-12,-0.03378873893596474,0.1496123074273497,-0.19979500592645905,-0.23330940512642692
2021-05-13,-0.3218828225172892,0.26274921932012,0.03117220784686878,0.06518480232821097
2021-05-14,-0.2882357661150315,-0.11517000561103681,0.2857138274937407,0.3585531086358005
2021-05-17,0.07630366649683715,-0.14965940589179022,0.030962043532707897,-0.011656854684712024
2021-05-18,-0.1672523372034058,0.0026519612905021492,0.18019070959321598,0.07495231385302215
2021-05-19,-0.14968768430699994,0.0757153166387928,-0.1106491126355453,-0.07776353703280771
2021-05-20,0.2198773897935402,-0.056343853692325196,0.028163172153294492,0.004858890644600243
2021-05-21,-0.20086475837189652,0.03932970702643436,0.006302515864928257,-0.00814214419100327
2021-05-24,-0.25101956764954897,-0.026987185414695497,0.20238340643056643,0.24842232146744941
2021-05-25,-0.20009694071078812,0.31070501535526707,-0.21302998189345992,-0.112627036615673
2021-05-26,-0.13374656650360012,0.15952118322827752,0.12555203167716453,-0.059799947198766724
2021-05-27,0.04674823812466176,-0.20927868477302403,0.02036592570482849,0.1511271436498489
2021-05-28,0.09394043341060684,-0.16353901747862432,0.35317856979436274,0.14708320332490185
2021-05-31,-0.1193518254848561,0.164296476086733,0.04394429875240937,0.03761614849271025
2021-06-01,-0.059528967830210534,0.15854528105181054,-0.352742445092938,-0.18770373205871688
2021-06-02,-0.12987964929815607,-0.02293764137398854,-0.28107357774336017,-0.162702174820307
2021-06-03,0.08862966636812225,-0.2549996837382373,0.018681882469211406,0.1087303939634637
2021-06-04,-0.004782396590657466,-0.06625093982718305,0.12263663496246041,-0.0825275825500643
2021-06-07,-0.1854867154349704,0.10474861473278134,-0.11157043509596276,-0.1725047433978364
2021-06-08,0.2135032415114167,0.04837646322139678,0.16563758518771063,0.11817556555428645
2021-06-09,0.2889216284146645,-0.2831485618337671,0.23975247815981074,0.13297925383691236
2021-06-10,0.09468925685238154,0.2399531436288043,-0.10049533003604541,-0.06830632128273986
2021-06-11,0.25836940451680435,-0.24779136640282837,0.11054748651872842,-0.06321215629285068
2021-06-15,-0.3939423302253238,0.26146384961019364,-0.46932450130593756,-0.43184842168775106
2021-06-16,0.43798293385270914,-0.3911011535389388,0.4499079597580554,0.15761118632319457
2021-06-17,0.1910164769421619,-0.043328257733294524,0.23182185776623646,0.2340761241931843
2021-06-18,0.12910608861588388,-0.17844983986725452,0.1495535292894368,-0.0461068203357873
2021-06-21,-0.12505592374857177,0.2735723716140674,-0.08744295464589878,0.058045149527818966
2021-06-22,0.061057934617133255,-0.07008165205295942,0.1996014282976674,0.0663486708388469
2021-06-23,-0.29243061205102694,0.19363585662594882,-0.25616012878090866,-0.12354648915247589
2021-06-24,0.07611650194433645,0.1438073237562464,0.1326430190539854,0.3358533776667102
2021-06-25,0.18463007191150332,-0.2093209479810878,0.24288110868250928,0.09881043038673293
2021-06-28,0.02573535044092534,0.01236741211780226,0.007778648571755231,-0.06020272541402083
2021-06-29,0.18190761853441803,-0.053921850901125744,0.1962853933828099,0.1567776841611938
2021-06-30,-0.23797586627804362,0.26926603980243435,-0.29897628920991776,-0.0025010206944495977
2021-07-01,-0.10662810478322315,-0.004442005215211616,-0.14351849518139798,-0.3637452878723116
2021-07-02,0.33850240155156575,-0.17619536828493984,0.2920430931583876,0.1441570236687219
2021-07-05,-0.31463525440321444,0.3092810921235044,-0.2615685468732809,-0.14101722247460574
2021-07-06,0.27291268481214837,-0.16165585758798146,0.3329640606818627,0.23335405584693936
2021-07-07,0.18314999083412659,-0.283739200606168,0.17224994925588918,0.060358453658744066
2021-07-08,-0.07172372828408216,0.12412713679277448,-0.030439571951041508,-0.06465074069747226
2021-07-09,0.2202055851037415,-0.015056685651205074,0.27391337692026746,0.24046263998189013
2021-07-12,-0.1789433263234513,0.26244359825845426,-0.11527706140801493,-0.12693521803173466
2021-07-13,-0.06723602597730455,0.040150610169580984,-0.05665738281380093,-0.1120851414882013
2021-07-14,0.2097513915243367,-0.03634447322128162,0.12852773047326813,0.22765760234724755
2021-07-15,-0.11193441470700516,0.06343519998482702,-0.1466433316375569,-0.23173106200953014
2021-07-16,0.07662126382344563,0.003034850935882327,0.040892146073947,0.10357115080266935
2021-07-19,0.05604632445501306,0.08499837394674013,0.1129646443697723,0.02368132883548092
2021-07-20,0.44118469034638025,-0.305219589793505,0.3967555271970662,0.28375584814566324
2021-07-21,0.03958090469358408,-0.049765008987378116,0.024336513662982995,-0.013572044783511601
2021-07-22,0.15531138067495556,-0.16427705295016481,-0.07264127811480244,-0.16142683118246598
2021-07-23,0.1795426318361228,-0.3114282179538614,-0.03635607579026013,-0.17670550274426433
2021-07-26,-0.044957004139848454,0.026986401781668758,-0.23152467940105795,-0.34772205136624634
2021-07-27,-0.1787076955541814,0.2835488801705544,-0.06499362614223135,0.006711942757065199
2021-07-28,0.516870504791478,-0.34038890345099077,0.6082323643326872,0.40530116338202443
2021-07-29,0.1483217890501913,-0.3108506236814588,0.06674857322451354,-0.012654675788200155
2021-07-30,-0.08008871080830927,0.08332171178380626,0.06953789519160125,0.12204123344652443
2021-08-02,-0.38193993548235683,0.42669641787343165,-0.25380480373477077,-0.17814926633894954
2021-08-03,0.5140258908474434,-0.46882849408266325,0.44461821896104803,0.34261515086807026
2021-08-04,-0.016072923055253895,0.02840508823548615,-0.1211518485621844,-0.055978773976851345
2021-08-05,-0.020095384090504223,-0.10232257043994583,0.018904849759823678,0.032821524823077444
2021-08-06,-0.4663948625825706,0.3542494083252453,-0.22742499842262637,-0.14813782835355557
2021-08-09,-0.36791060889440336,0.24439116802097166,-0.10827154799004551,-0.10145354710359832
2021-08-10,-0.0024339383810141214,-0.008680004656862136,-0.11744797818733449,-0.1608824436939875
2021-08-11,0.0513490974430941,-0.023108986894285914,-0.06443876721596781,-0.11600000058153793
2021-08-12,-0.2497595565248931,0.158488642123911,-0.24227834651361732,-0.09877799334058489
2021-08-13,-0.3369808240275473,0.27128631953298304,-0.24460390019975017,-0.22426291708347967
2021-08-16,-0.20439367803625397,-0.008826038620970065,-0.39196532597713546,-0.315557610758781
2021-08-17,-0.02039096458436313,-0.16627612148781692,-0.23527424006749473,-0.11274350730710185
2021-08-18,0.2381622411532657,0.11423530702826822,0.2164354925387987,0.08336828043566101
2021-08-19,0.3142253786577359,-0.31946681003638877,-0.0627180358350525,-0.156386421647613
2021-08-20,0.24622238371444907,-0.010879630450584203,0.3621927531083889,0.22555291662556476
2021-08-23,-0.008061436781257137,0.19026010914566047,0.14107573731031553,0.14048391547459538
2021-08-24,0.03124498021676009,0.05087668477618337,0.0176335682370062,-0.059782009592790855
2021-08-25,0.10920861554924599,-0.16435329208798258,-0.22434889373109487,-0.23942045546936166
2021-08-26,0.33974297099014533,-0.15694533284496145,0.2034894805398991,0.22888781455265073
2021-08-27,0.20839504067984352,-0.12270005431761767,0.06333397107581397,0.031520558192460364
2021-08-30,0.03573865970992655,-0.34055139075756274,-0.13408797459031982,-0.15042865058198554
2021-08-31,-0.4961525372367682,0.1933834942096921,-0.34238605883719414,-0.21331437335751993
2021-09-01,0.44116391626131796,-0.6097446589603375,0.06227158649426061,-0.04140480040084856
2021-09-02,-0.47920286054372085,0.30211711400703767,-0.38521142131074887,-0.33414540481679095
2021-09-03,-0.11601526343312162,0.32529276496904763,0.22277110101140643,0.1632142561351478
2021-09-06,0.29125825596087007,-0.38547171092260185,0.1110757013752921,0.16674559048707943
2021-09-07,-0.011790371124071485,-0.08281345667168065,-0.31424932217993135,-0.2331458278980547
2021-09-08,0.24202077190956403,-0.2789786725380063,-0.02206149250923956,-0.04697654179668935
2021-09-09,-0.13577670559902025,0.26554264914297576,0.02306618442450783,0.2049957599954026
2021-09-10,0.24366495553678874,-0.4008150709118344,-0.03969766938374257,-0.043822769918313256
2021-09-13,-0.27914077319800235,0.43672052214238755,0.07038420781174799,-0.0010107638975253063
2021-09-14,0.28518107266424686,-0.23321015643638307,0.022151617620835097,-0.06628538723407448
2021-09-15,-0.321987141843031,0.15692904599681656,-0.30879030996478135,-0.23919111776613733
2021-09-16,-0.29531862180429524,0.1463046594205402,0.030643338114853303,-0.036769780652348136
2021-09-17,0.42324151471791993,-0.2834043084885234,0.2249993344618485,0.0007812551211348538
2021-09-22,-0.08339831141214618,0.24183507820947023,-0.05447387531717835,-0.12446775894320483
2021-09-23,-0.526815608604564,0.39228445426327624,-0.207372916796169,-0.13348696252239375
2021-09-24,-0.5889545777698465,0.2885219155074815,-0.3460670507767289,-0.15792959624502848
2021-09-27,0.17051871199125088,-0.2845274909338442,0.018702754330906433,-0.14030121488672284
2021-09-28,-0.39211939364965787,-0.030674567081150583,-0.31636424456437706,-0.16229426605269198
2021-09-29,0.07562704111713199,0.22135792855495787,0.40666755668711974,0.21290185724272678
2021-09-30,-0.5175994191305251,-0.031451669495028554,-0.5068762236476326,-0.2483742387694837
2021-10-08,-0.1423114035596566,0.2392293855120536,-0.1963281098789301,-0.14844296758721784
2021-10-11,-0.2668981016929266,-0.25566519648110386,-0.24990724546219115,-0.11491936574609321
2021-10-12,-0.246206383644628,0.16409215144606545,0.015757515446193877,0.14345099053959956
2021-10-13,0.08661844117339766,0.2866780713007634,0.12396678347912733,0.019923805478605495
2021-10-14,0.09960724227316207,0.05868333287485442,0.1813876686706618,0.227440023057062
2021-10-15,0.5461386754711502,0.2842418019796713,0.3758293840174172,0.21673266778630731
2021-10-18,-0.25760813391511284,0.003335745216218387,-0.06818876690542747,0.07426567719951704
2021-10-19,0.13041209925670194,0.07981135746421472,0.1878803074496443,0.0990122111111589
2021-10-20,-0.028884975237607764,0.030521566841847425,-0.13103410419601724,-0.022181646393501394
2021-10-21,-0.3996639708829304,-0.08460975452674838,-0.2599902264873863,-0.02136255355558862
2021-10-22,0.38170173034034544,0.22649233690352466,0.3090998721846949,0.23828641872612957
2021-10-25,-0.17597856721672356,0.11838381070563493,-0.07762066919733901,-0.06859477976177936
2021-10-26,0.27176434420994294,-0.36864434451379163,0.19638563070428416,0.0990518123526177
2021-10-27,-0.05519841250719812,-0.2655645696855656,-0.16303678669462957,-0.04916681590743241
2021-10-28,-0.14401436103963103,-0.08631846631137013,0.031209479856285586,0.016219706352549466
2021-10-29,-0.17592921953449103,-0.05843928332198445,-0.15312873970757918,-0.255978131318164
2021-11-01,-0.17944833073633262,-0.18208627753287637,0.06645852106852074,-0.08406017282792907
2021-11-02,-0.07721224426727658,0.35029662876149337,-0.0020634546779490855,-0.03093138473692546
2021-11-03,-0.07684857419641586,-0.27239448615125655,0.10560820446974545,0.044021886173049106
2021-11-04,-0.2515880057365817,-0.25071714191444183,-0.26209094913527237,-0.16993299698299624
2021-11-05,0.1482940093102518,-0.006520073731109973,0.047880229830866955,0.08426637538271661
2021-11-08,-0.10669140049588098,-0.10117881859189105,-0.043313808645724386,-0.06950738570847907
2021-11-09,-0.22488743873671185,0.1296133204443664,-0.25115017137312184,-0.25445515805521557
2021-11-10,-0.1300242889008478,0.27044991864146956,-0.2226374844538909,-0.028008197674605197
2021-11-11,0.15989670191952196,-0.19456228451435562,-0.041692081044624164,-0.11713137678333999
2021-11-12,-0.2475965403878469,0.11331057259620304,-0.1860189034744512,-0.2441437204784116
2021-11-15,-0.0954851741552945,0.055987275810717566,-0.14965414217981293,-0.08353841371411064
2021-11-16,-0.05479509007181479,0.10263796740790916,0.34065614011283185,0.1371339771687158
2021-11-17,0.09946540421582864,0.17098577862116285,0.07248742106202273,-0.003570318577787386
2021-11-18,-0.1014978268338761,0.18948817097555426,-0.05174503004873512,-0.00705828362133609
2021-11-19,-0.010955829278661972,-0.11391844200237286,0.30674185344987265,0.23108395348914448
2021-11-22,-0.134720224542325,0.19005006397601243,-0.1376272566170782,-0.2568474203878405
2021-11-23,-0.13360059662088017,0.1447233701092265,-0.07016682762669603,-0.1627110166323131
2021-11-24,-0.07865755111541327,0.07242138078577923,-0.135893682864429,-0.10703455476841538
2021-11-25,-0.1368880560002926,0.10136487230842967,0.07195249248904315,0.0975246881400452
2021-11-26,0.16873987654238323,-0.006933182003916666,0.08082885557022264,0.10682697893592802
2021-11-29,-0.13842921650889023,0.05435046706824537,-0.03371979781024079,-0.12273405969457939
2021-11-30,-0.05608353327248834,0.10997402459113653,-0.26112569498624355,-0.18201237674014523
2021-12-01,-0.08204232913744323,-0.04849082348659371,-0.1533221305026754,0.012720231064061035
2021-12-02,0.15169784952788326,0.04600648418859064,0.043716634189552454,-0.04279292027342065
2021-12-03,-0.26640218379462893,0.09910764242552297,-0.23854433694894506,-0.057741213239813155
2021-12-06,-0.19513250430283785,0.20401615804069334,-0.2959854843751698,-0.18850825506891042
2021-12-07,0.17506515759491062,0.16592294809707683,0.3639722700463962,0.3191733573311929
2021-12-08,-0.11044174290738736,0.19685261680016192,-0.27205985617282585,-0.015232740664089282
2021-12-09,-0.013665145345246026,0.23730548661482068,0.09458334359772887,0.09065846429426375
2021-12-10,-0.10122039268151828,-0.225192812072805,0.12008438170151821,0.18779691822016184
2021-12-13,0.23800267163495498,0.09978339987542025,-0.04572234452012394,-0.04131282788524284
2021-12-14,-0.09861454359840684,-0.17014783214238696,-0.10284418075554363,-0.17899851481028856
2021-12-15,-0.2525379077309037,-0.03880403134936077,0.07109384938563362,0.033558582186347885
2021-12-16,-0.2791402807578918,-0.062432331408261016,-0.30435375431940265,-0.37690768059632684
2021-12-17,0.08215209680264084,-0.020997509049658688,-0.30805701323355217,-0.2538593090700836
2021-12-20,0.08500804866693502,-0.014664046721308402,0.09018052791185745,-0.045731624662193646
2021-12-21,0.20062868527538832,0.13836476658815025,0.09035394718176216,-0.09075660509471183
2021-12-22,0.12865039416014543,-0.2730360357623215,0.11235978034028742,0.14281027179010528
2021-12-23,0.27475687341653016,-0.08604886848937396,-0.15789640114544184,-0.21768212017228047
2021-12-24,-0.06254244168886261,-0.01827128489664946,-0.05905811236697301,-0.09857534351849756
2021-12-27,-0.1609187430135297,0.41280331320010333,-0.03319786007949253,0.14216760670238274
2021-12-28,-0.19014440235693658,0.2060211847499967,-0.13232295765044957,-0.31459265044256
2021-12-29,0.14967679999496314,-0.023460213506088276,0.13072616252446598,0.06012204695821628
2021-12-30,-0.042725731835525214,-0.03388980364005091,0.0344509815031008,-0.020033155015358413
2021-12-31,-0.06604249412983264,-0.14243913062881264,-0.3809090456365653,-0.2662018386804271
2022-01-04,-0.2791843940775642,-0.14116099962429013,-0.5267891312473639,-0.2620087879559031
2022-01-05,-0.07335193705151496,0.10136276769169111,0.09390339086548373,-0.07321597196525494
2022-01-06,-0.1969355132545206,-0.2429785301368654,-0.4969497781880763,-0.19430597605302483
2022-01-07,-0.07192789950698604,-0.09524225481656814,-0.05123081616692407,-0.14010960782485357
2022-01-10,-0.07395894804213221,-0.13856283053504978,-0.29549076508802896,-0.2200510133172159
2022-01-11,-0.3317180642707366,0.6032744992034452,0.26417438911956576,0.19696853069663034
2022-01-12,-0.207430583447029,-0.24271774451918599,-0.449630084575661,-0.3012377947168478
2022-01-13,0.014416130475465009,0.28443420690793497,0.3147238382868014,0.07204200575511746
2022-01-14,0.14787804512797517,0.19251238832454565,0.2711289882294655,0.11468198811665076
2022-01-17,-0.049177775021732886,-0.0029802002524639197,-0.06703869491200888,0.014330258441313722
2022-01-18,0.096719715886004,-0.21456513207090022,-0.3551141437518049,-0.21152596615563643
2022-01-19,0.12867182813518058,-0.2956162311363234,-0.2852846288617374,0.05109511325581449
2022-01-20,-0.1629548073860607,0.048074569385749034,-0.20711995133352432,-0.13328583468645877
2022-01-21,-0.12484479285915942,0.281117203871424,0.3470423518591779,0.24247404705568898
2022-01-24,-0.05104429973023089,-0.1457797748076424,-0.1061943680562195,-0.06175547673783757
2022-01-25,-0.03209384601834019,0.15688667961321517,0.08292937205191234,0.04953570428182973
2022-01-26,0.2031979387248938,-0.18868115794921633,-0.21220763283418578,-0.13529230332132808
